date,stock,strategy,operation,price,size,capital,profit_gross,profit_net
2021-05-11,MSFT,SMAStrategy30,SELL,235.1958977580137,-41,99527.96777748532,,
2021-05-13,GOOGL,SMAStrategy30,TRADE_CLOSE,,0,99322.99719557934,624.4705226958017,624.4705226958017
2021-05-13,GOOGL,SMAStrategy30,SELL,110.47130973397276,-94,99322.99719557934,,
2021-05-17,MSFT,SMAStrategy10,BUY,237.11942610822354,41,99268.97529789609,,
2021-05-18,GOOGL,SMAStrategy30,BUY,114.25422714545348,87,98967.5996161664,,
2021-05-18,MSFT,SMAStrategy10,TRADE_CLOSE,,0,98967.5996161664,-11.042854443875115,-11.042854443875115
2021-05-18,GOOGL,SMAStrategy10,BUY,114.25422714545348,87,98967.5996161664,,
2021-05-18,MSFT,SMAStrategy10,SELL,236.8500881949583,-41,98967.5996161664,,
2021-05-19,GOOGL,SMAStrategy30,SELL,110.58594292832795,-87,98673.67288735561,,
2021-05-19,GOOGL,SMAStrategy30,TRADE_CLOSE,,0,98673.67288735561,-319.14072688992127,-319.14072688992127
2021-05-19,GOOGL,SMAStrategy10,TRADE_CLOSE,,0,98673.67288735561,-319.14072688992127,-319.14072688992127
2021-05-19,GOOGL,SMAStrategy10,SELL,110.58594292832795,-87,98673.67288735561,,
2021-05-21,GOOGL,SMAStrategy30,BUY,115.00157839071795,86,98195.72614875318,,
2021-05-21,GOOGL,SMAStrategy10,BUY,115.00157839071795,86,98195.72614875318,,
2021-05-21,MSFT,SMAStrategy10,BUY,238.6501927760456,41,98195.72614875318,,
2021-05-21,AAPL,SMAStrategy10,BUY,124.8242725716539,79,98195.72614875318,,
2021-05-24,AAPL,SMAStrategy10,TRADE_CLOSE,,0,99033.30914004004,-139.63905694947607,-139.63905694947607
2021-05-24,AAPL,SMAStrategy10,SELL,123.05668957229345,-79,99033.30914004004,,
2021-05-25,TSLA,SMAStrategy10,BUY,202.43666076660156,48,98973.18172297985,,
2021-05-25,AAPL,SMAStrategy10,BUY,124.8242630592938,79,98973.18172297985,,
2021-05-26,MSFT,SMAStrategy30,BUY,242.37110449046094,40,99342.45058047079,,
2021-05-28,MSFT,SMAStrategy30,SELL,241.95660650339286,-40,98977.22350180571,,
2021-05-28,MSFT,SMAStrategy30,TRADE_CLOSE,,0,98977.22350180571,-16.579919482721834,-16.579919482721834
2021-05-28,AAPL,SMAStrategy10,TRADE_CLOSE,,0,98977.22350180571,-173.58330424457873,-173.58330424457873
2021-05-28,AAPL,SMAStrategy10,SELL,122.62700604353962,-79,98977.22350180571,,
2021-05-28,GOOGL,GoldenCrossStrategy1030,BUY,117.83070761492301,84,98977.22350180571,,
2021-06-02,MSFT,SMAStrategy10,SELL,239.19000511781942,-41,98768.91610116267,,
